Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Book value,Price to book value,Piotroski score,Industry PE,PE Variance,Promoter holding,Change in promoter holding 3Years,FII holding,DII holding,Contingent liabilities,Pledged percentage,EVEBITDA,Enterprise Value,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,Return over 3months,Return over 6months,Return over 1year,Return over 3years
ABC India,520123,,Miscellaneous,64.65,35.02,40.25,64.48,1.00,6.00,30.92,1.30,60.05,-4.42,0.00,0.00,4.03,0.00,9.59,49.85,63.67,57.96,63.63,57.89,7.75,43.03,50.35,-11.65
Abhinav Capital,532057,,Finance & Investments,34.00,23.54,14.44,44.35,0.77,4.00,17.34,0.83,71.48,0.00,0.00,0.00,0.00,0.00,11.05,26.31,34.95,52.61,34.99,52.80,1.49,-17.87,-49.25,-21.21
Abhinav Leasing,538952,,Finance & Investments,0.74,3.70,24.67,1.11,0.67,7.00,17.34,1.42,3.66,0.00,0.00,0.00,0.00,0.00,7.18,3.16,0.76,1.15,0.76,1.16,-1.33,5.71,-29.52,-20.09
Abhishek Infra.,539544,,Construction,5.25,1.71,,9.39,0.56,5.00,14.45,,29.65,0.00,0.00,0.00,0.00,0.00,-18.56,1.67,3.62,2.89,3.55,2.87,162.50,446.88,90.22,17.33
Abirami Fin.,511756,,Finance & Investments,3.90,2.34,46.80,13.38,0.29,7.00,17.34,2.70,59.08,0.00,0.00,0.00,0.00,0.00,11.78,2.12,4.00,4.95,4.00,4.96,-18.24,8.64,-32.06,-18.93
ABM Knowledge,531161,,Computers - Software - Medium / Small,110.20,220.42,10.10,89.35,1.23,5.00,27.79,0.36,66.93,2.00,0.57,0.00,12.08,0.00,6.37,192.53,113.51,103.43,113.65,103.36,-0.41,-1.69,163.95,5.24
ACC,500410,ACC,Cement - North India,1904.75,35768.78,19.91,676.25,2.82,8.00,18.35,1.09,54.53,0.00,12.74,20.18,2788.33,0.00,10.49,29847.06,1841.04,1669.28,1838.44,1666.92,10.55,14.08,65.08,8.06
Accel,517494,,Computers - Software - Medium / Small,13.18,75.14,,13.84,0.95,4.00,27.79,,72.40,11.23,0.00,0.25,0.88,0.00,94.71,128.80,14.06,11.22,14.09,11.20,34.35,42.49,229.50,61.31
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,888.35,1326.31,48.39,174.05,5.10,5.00,27.79,1.74,89.27,14.61,0.24,0.01,12.62,0.00,17.26,1321.73,890.74,924.06,890.84,924.42,-6.68,5.97,-1.75,-11.82
Accord Synergy,,ACCORD,Engineering - Turnkey Services,17.25,5.99,3.35,54.58,0.32,7.00,10.10,0.33,71.99,0.00,,,0.00,0.00,3.39,13.76,21.69,33.79,21.87,33.95,-25.00,-32.22,35.29,-28.65
Accuracy Shippi.,,ACCURACY,,60.65,91.31,24.03,48.74,1.24,6.00,17.37,1.38,62.95,,,,0.00,0.00,5.78,166.99,55.65,45.11,55.44,44.96,31.99,88.06,254.68,
ACE EduTremd Ltd,530093,,Miscellaneous,1.20,1.10,,10.80,0.11,5.00,15.16,,5.01,0.00,0.00,0.00,0.00,0.00,3.41,1.09,1.70,1.90,1.72,1.91,-25.00,-25.00,-25.00,-5.46
Ace Men,539661,,Trading,52.60,16.30,74.09,10.04,5.24,3.00,41.36,1.79,11.02,0.00,0.00,0.00,0.00,0.00,56.10,16.27,41.05,30.80,40.58,30.58,61.35,121.01,214.03,34.75
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,12.30,5.76,,42.63,0.29,3.00,27.79,,67.84,1.20,0.00,0.00,0.00,0.00,10.55,6.75,13.02,14.28,13.05,14.30,-12.14,-11.51,-13.68,-26.28
Acewin Agriteck,539570,,Miscellaneous,8.00,8.21,0.66,27.24,0.29,7.00,26.63,0.02,59.03,-14.39,0.00,0.00,0.00,0.00,0.53,9.68,11.55,10.88,11.70,10.90,-36.25,-10.31,62.27,-15.29
ACI Infocom,517356,,Computers - Software - Medium / Small,0.30,3.31,,1.49,0.20,5.00,27.79,,22.88,2.22,0.00,0.00,0.06,0.00,-27.58,3.31,0.31,0.39,0.32,0.39,-3.23,-16.67,57.89,-57.47
Acknit Indus.,530043,,Textiles - Products,95.45,29.02,5.56,165.39,0.58,6.00,19.87,0.28,50.35,0.38,0.44,0.00,4.27,26.14,5.03,65.34,90.78,79.27,90.58,79.10,21.75,36.94,86.97,-0.84
Acme Resources,539391,,Finance & Investments,14.45,37.20,4.79,48.84,0.30,9.00,17.34,0.28,73.43,0.10,0.00,0.00,0.00,0.00,5.66,41.53,16.49,12.64,16.58,12.62,61.81,60.56,180.58,-4.33
Acrow India,513149,,Engineering,133.50,8.54,,336.25,0.40,3.00,23.35,,54.59,0.07,0.00,0.00,0.21,0.00,-141.67,8.50,128.22,124.24,128.00,124.14,22.42,-0.15,63.40,4.16
Acrysil,524091,ACRYSIL,Ceramics - Tiles / Sanitaryware,330.60,882.53,29.44,63.06,5.24,8.00,29.44,1.00,44.04,1.62,0.03,6.66,0.42,0.00,15.69,941.31,316.00,222.10,315.41,221.01,58.64,90.44,428.96,43.45
