NAME,MCAP,CMP,PE,Earning1,Earning2,Earning3,Earning4,DebtScore1,DebtScore2,DebtScore3,DebtScore4,DebtScore5,CashScore,IV-Max,IV-Avg,IV-Min,CAGR-Max,CAGR-Avg,CAGR-Min,ReturnMultiple-Max,ReturnMultiple-Avg,ReturnMultiple-Min
BEMCO HYDRAULICS LTD,70.96,324.5,24.218430034129693,6.0,3.0,3.0,3.0,4.0,3.0,0.0,0.0,6.0,4.0,-677.2073083243754,-421.1138842906714,-289.2745678280452,,,,-12.255005207682991,-7.537333037538736,-5.107455729350146
BEML LTD,4893.53,1175.2,48.35981816385018,6.0,6.0,4.0,6.0,10.0,9.0,0.0,8.0,0.0,8.0,895.2436282524515,560.1793328365469,387.685064991346,0.1608284780749727,0.10599773670063439,0.06407193182426241,4.443043232233243,2.738686886849834,1.8608436075047712
BENARA BEARINGS & PISTONS LTD,15.94,9.0,6.17829457364341,8.0,6.0,5.0,5.0,3.0,1.0,10.0,8.0,6.0,2.0,578.6950517620413,361.2938167534581,249.37360509706573,0.8093088246322653,0.7237100258100448,0.6582051993653733,375.9473379914327,231.54855586378613,157.17473094171498
BENARES HOTELS LTD,159.25,1225.0,-30.449330783938823,6.0,5.0,5.0,5.0,10.0,10.0,10.0,8.0,6.0,7.0,950.1396960161335,595.6234507530695,413.1151351774697,0.1626857721178434,0.10784016065811364,0.06593065924014985,4.514644728516516,2.7846527668760017,1.8936056446232468
BENGAL & ASSAM COMPANY LTD,1559.57,1380.6,24.69627870150435,6.0,6.0,5.0,6.0,10.0,8.0,0.0,0.0,6.0,9.0,9409.266570731914,5875.22899285581,4055.8730278268094,0.445554247477741,0.37717130908466157,0.3248434909095923,39.84225780469717,24.54028848146044,16.65887860638769
BENGAL TEA & FABRICS LTD,39.22,43.55,-65.36666666666675,4.0,1.0,1.0,1.0,6.0,6.0,0.0,0.0,6.0,6.0,-15.743455473135104,-9.495313184896661,-6.2787104488023,,,,-2.192109601375104,-1.3344661325534508,-0.8927295454725904
BERGER PAINTS INDIA LTD,69491.3,715.45,100.604134696123,9.0,8.0,9.0,8.0,10.0,10.0,0.0,8.0,0.0,8.0,309.7893184234007,193.6520310275923,133.8634572137179,0.097187970448257,0.045326339938099425,0.0056567795801112375,2.5281938678362836,1.5578259646463837,1.0580296957412516
BERVIN INVESTMENTS & LEASING LTD,5.85,9.92,2.6712328767123292,5.0,1.0,2.0,1.0,7.0,3.0,10.0,0.0,0.0,4.0,731.796360116627,456.90428032711924,315.38723811025744,0.8343287975912217,0.7475497538214257,0.6811430597254398,431.292436568109,265.64123597756407,180.32117157451916
BERYL DRUGS LTD,3.54,6.98,-8.85,4.0,3.0,3.0,3.0,10.0,9.0,10.0,8.0,6.0,4.0,-123.36375196183646,-76.87093300941596,-52.93599014926252,,,,-103.5533951278249,-63.73584922316389,-43.22748243290961
BERYL SECURITIES LTD,3.13,6.46,9.78125,8.0,4.0,5.0,4.0,10.0,10.0,0.0,8.0,6.0,3.0,17.98468422723107,11.348468844841909,7.9320824100312795,0.32022438687042953,0.25824635190327516,0.21099932281016387,16.087090564297124,9.946191094249201,6.783268420527154
BEST AGROLIFE LTD,672.86,305.4,24.819623755071934,5.0,5.0,7.0,5.0,10.0,10.0,10.0,8.0,0.0,5.0,342.2968252847098,215.57159566655181,150.33224907080128,0.2056700850289317,0.1489882631145707,0.10574792646101794,6.490600123828694,4.01010665991068,2.732507334712086
BEST EASTERN HOTELS LTD,34.12,20.25,-37.49450549450549,6.0,3.0,2.0,3.0,9.0,4.0,0.0,8.0,6.0,8.0,19.510670528277934,12.195492783497118,8.429570103859737,0.18855739548450146,0.13237429614459506,0.0893981880728194,5.62602408032313,3.4665704224062184,2.354325388793232
BETA DRUGS LTD,200.4,208.45,,7.0,4.0,6.0,2.0,4.0,4.0,10.0,8.0,6.0,4.0,1964.5404318978751,1226.5118021066635,846.5676842572482,0.4931996609829661,0.4225560562860913,0.368495752534568,55.10345454866517,33.93859733657685,23.037457025012465
BETEX INDIA LTD,7.32,48.8,4.632911392405064,6.0,5.0,4.0,5.0,10.0,3.0,10.0,0.0,6.0,5.0,1348.8341572074107,845.0913063801305,585.7597230855013,0.6621777444016905,0.5837390899209904,0.5237894223594444,160.98100361432714,99.27419206796448,67.49157222293371
BF INVESTMENT LTD,1091.39,289.8,28.09963954685891,5.0,5.0,5.0,5.0,10.0,10.0,10.0,8.0,6.0,5.0,356.2850341340935,223.23620289671527,154.7414063876933,0.217562012041856,0.1601070056229157,0.11619567205807813,7.159964951566924,4.415506150700024,3.0019492262304253
BF UTILITIES LTD,1021.72,271.3,-3523.1724137931033,4.0,3.0,4.0,3.0,5.0,3.0,10.0,0.0,6.0,9.0,13.294630755495758,10.16407371042147,8.552433339228122,-0.14201751764916914,-0.1743679810769596,-0.19686460101751646,0.21616441821267077,0.14718558227792347,0.11165744421783849
BGR ENERGY SYSTEMS LTD,337.71,46.8,-1.1690725932080173,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3468.7983994437,2175.068574670353,1509.044226606719,0.8343341639971009,0.7478217226400834,0.6817204622964732,431.3050543754545,266.05493950754726,180.9414577285013
